Tag	Monat	Jahr	Zahl1A	Zahl2A	Zahl3A	Zahl4A	Zahl5A	Zahl6A	ZusatzzahlA	Zahl1B	Zahl2B	Zahl3B	Zahl4B	Zahl5B	Zahl6B	ZusatzzahlB	Superzahl1	Superzahl2
11	4	1984	22	13	24	37	36	30	32	27	 	
18	4	1984	8	24	13	18	30	36	3	4	 	
25	4	1984	5	1	3	25	12	9	6	17	 	
2	5	1984	35	17	2	16	12	1	7	23	 	
9	5	1984	26	21	8	24	12	19	20	10	 	
16	5	1984	36	3	20	26	16	28	37	25	 	
23	5	1984	16	32	7	3	14	1	31	22	 	
30	5	1984	5	1	14	2	6	16	8	22	 	
6	6	1984	29	14	12	25	24	33	5	6	 	
13	6	1984	35	22	4	8	1	12	3	18	 	
20	6	1984	31	18	35	28	32	13	11	2	 	
27	6	1984	13	11	26	24	36	9	22	7	 	
4	7	1984	3	29	24	17	26	23	21	30	 	
11	7	1984	5	17	25	15	19	4	30	31	 	
18	7	1984	1	29	11	5	26	12	15	22	 	
25	7	1984	28	18	34	31	33	30	35	22	 	
1	8	1984	32	15	22	14	4	36	24	2	 	
8	8	1984	18	14	38	19	9	21	31	32	 	
15	8	1984	31	27	16	30	17	15	13	12	 	
22	8	1984	26	18	17	28	31	14	36	10	 	
29	8	1984	18	15	21	17	35	5	36	11	 	
5	9	1984	25	26	38	9	27	15	12	16	 	
12	9	1984	37	30	7	1	21	20	4	36	 	
19	9	1984	34	28	29	25	37	20	24	5	 	
26	9	1984	18	36	33	16	35	6	20	32	 	
3	10	1984	19	2	12	30	8	13	6	36	 	
10	10	1984	31	23	21	27	4	6	29	36	 	
17	10	1984	16	24	21	37	11	35	6	36	 	
24	10	1984	17	28	1	26	10	4	37	7	 	
31	10	1984	38	8	16	30	14	5	21	32	 	
7	11	1984	22	28	8	15	24	7	4	18	 	
14	11	1984	34	27	30	33	25	2	7	4	 	
21	11	1984	32	38	3	22	35	2	13	33	 	
28	11	1984	28	7	29	22	31	26	36	32	 	
5	12	1984	22	32	6	34	24	8	36	37	 	
12	12	1984	12	1	25	7	23	10	5	32	 	
19	12	1984	26	18	35	30	5	12	15	7	 	
26	12	1984	16	30	36	2	7	25	27	5	 	
2	1	1985	9	20	23	18	16	15	19	33	 	
9	1	1985	7	27	10	26	30	17	12	3	 	
16	1	1985	8	16	9	2	1	21	25	35	 	
23	1	1985	6	15	3	32	11	25	12	21	 	
30	1	1985	23	32	1	3	33	15	25	37	 	
6	2	1985	19	7	20	8	29	3	6	28	 	
13	2	1985	35	8	36	20	13	19	18	4	 	
20	2	1985	13	31	34	12	32	28	2	10	 	
27	2	1985	12	17	38	20	18	28	26	32	 	
6	3	1985	35	16	9	3	10	20	18	7	 	
13	3	1985	15	10	32	4	28	17	26	23	 	
20	3	1985	7	29	11	24	23	27	8	15	 	
27	3	1985	22	3	20	27	1	21	12	29	 	
3	4	1985	21	36	13	9	25	33	10	34	 	
10	4	1985	20	22	6	4	28	17	37	3	 	
17	4	1985	2	17	3	30	13	24	16	31	 	
24	4	1985	21	12	36	28	1	20	18	37	 	
1	5	1985	19	25	35	23	22	4	36	11	 	
8	5	1985	26	31	3	10	6	17	5	19	 	
15	5	1985	10	9	35	36	5	3	33	38	 	
22	5	1985	28	25	4	20	27	23	19	2	 	
29	5	1985	6	15	19	12	8	25	26	9	 	
5	6	1985	31	21	22	37	6	35	11	19	 	
12	6	1985	27	4	33	26	32	12	14	31	 	
19	6	1985	6	36	28	26	10	11	23	29	 	
26	6	1985	29	17	2	25	15	9	33	20	 	
3	7	1985	26	33	17	20	32	19	8	13	 	
10	7	1985	5	29	17	28	24	23	26	10	 	
17	7	1985	30	16	7	23	26	34	8	38	 	
24	7	1985	27	10	18	29	1	16	6	35	 	
31	7	1985	26	31	1	12	16	19	22	30	 	
7	8	1985	24	34	17	1	3	30	5	7	 	
14	8	1985	32	18	16	27	21	22	33	28	 	
21	8	1985	32	10	20	8	38	23	27	7	 	
28	8	1985	26	16	3	9	36	22	5	1	 	
4	9	1985	36	20	31	5	6	37	27	24	 	
11	9	1985	37	38	28	18	8	27	30	35	 	
18	9	1985	20	1	22	11	8	13	28	26	 	
25	9	1985	32	28	16	34	17	30	10	8	 	
2	10	1985	21	29	20	8	12	19	32	3	 	
9	10	1985	4	10	36	7	3	2	38	23	 	
16	10	1985	29	19	10	18	6	26	31	36	 	
23	10	1985	2	5	9	10	24	33	17	20	 	
30	10	1985	5	32	13	3	16	8	33	30	 	
6	11	1985	36	10	8	5	12	3	38	16	 	
13	11	1985	24	13	23	3	9	11	10	15	 	
20	11	1985	16	2	32	1	24	33	8	9	 	
27	11	1985	2	14	35	36	24	26	10	3	 	
4	12	1985	38	34	25	26	11	31	29	3	 	
11	12	1985	10	7	16	35	21	9	15	12	 	
18	12	1985	25	2	28	27	12	21	35	3	 	
25	12	1985	30	18	21	15	33	34	16	6	 	
1	1	1986	14	5	6	11	15	16	37	20	 	
8	1	1986	16	1	6	12	26	30	35	20	 	
15	1	1986	20	9	15	18	36	37	38	16	 	
22	1	1986	20	6	13	19	22	31	38	15	 	
29	1	1986	21	6	12	16	24	32	35	3	 	
5	2	1986	14	7	9	11	22	28	32	10	 	
12	2	1986	10	5	6	7	19	29	30	24	 	
19	2	1986	22	6	12	14	32	37	38	2	 	
26	2	1986	30	1	7	26	31	34	35	14	 	
5	3	1986	16	1	5	8	25	28	34	30	 	
12	3	1986	11	5	6	10	22	24	36	12	 	
19	3	1986	17	1	8	12	27	29	31	18	 	
26	3	1986	24	16	18	19	31	35	37	12	 	
2	4	1986	17	2	12	13	19	25	27	14	 	
9	4	1986	22	1	8	12	23	31	38	35	 	
16	4	1986	17	3	4	11	19	20	26	37	 	
23	4	1986	8	3	5	6	16	17	37	21	 	
30	4	1986	27	2	14	17	32	37	38	8	 	
7	5	1986	15	4	5	9	17	26	29	8	 	
14	5	1986	14	4	6	8	26	29	34	10	 	
21	5	1986	15	4	5	9	20	26	34	25	 	
28	5	1986	30	1	16	28	35	36	37	18	 	
