Tag	Monat	Jahr	Zahl1A	Zahl2A	Zahl3A	Zahl4A	Zahl5A	Zahl6A	ZusatzzahlA	Zahl1B	Zahl2B	Zahl3B	Zahl4B	Zahl5B	Zahl6B	ZusatzzahlB	Superzahl1	Superzahl2
7	10	1987	19	4	26	47	34	33	9		33	14	8	46	23	7	39		 	
14	10	1987	37	25	27	44	17	36	30		18	28	34	38	46	2	22		 	
21	10	1987	33	2	30	5	31	49	18		5	32	16	12	19	34	46		 	
28	10	1987	4	44	39	13	2	38	42		31	2	19	46	25	38	44		 	
4	11	1987	26	46	43	18	40	21	30		18	5	49	3	43	23	27		 	
11	11	1987	42	14	39	6	7	26	31		35	20	14	23	7	39	31		 	
18	11	1987	48	9	30	18	5	44	26		14	34	44	38	32	13	3		 	
25	11	1987	16	44	39	34	20	24	3		6	45	25	20	13	40	31		 	
2	12	1987	24	38	43	28	20	27	6		34	27	10	39	4	42	32		 	
9	12	1987	38	49	14	43	29	23	37		38	27	35	9	24	18	45		 	
16	12	1987	21	17	15	10	43	33	23		32	7	26	9	19	22	41		 	
23	12	1987	9	39	35	3	2	19	36		3	5	9	8	42	34	20		 	
30	12	1987	46	17	12	25	22	27	6		9	12	11	46	27	35	8		 	
6	1	1988	32	22	23	2	41	27	42		38	43	46	9	30	32	8		 	
13	1	1988	24	21	42	46	27	17	2		34	14	36	23	10	25	28		 	
20	1	1988	3	17	44	5	31	11	2		36	41	11	2	4	35	49		 	
27	1	1988	27	42	9	37	10	39	15		10	44	35	29	30	34	3		 	
3	2	1988	32	42	23	4	7	43	26		39	19	44	49	15	11	3		 	
10	2	1988	35	8	36	22	46	9	7		45	11	29	23	2	26	33		 	
17	2	1988	6	35	13	17	38	11	33		48	15	31	5	49	22	1		 	
24	2	1988	34	3	23	19	24	6	48		2	21	32	27	29	40	42		 	
2	3	1988	40	21	47	45	37	12	30		15	23	42	25	7	22	4		 	
9	3	1988	30	36	18	11	33	9	23		47	19	22	16	5	30	9		 	
16	3	1988	26	16	23	36	40	13	21		44	5	23	41	27	47	25		 	
23	3	1988	48	3	18	40	8	22	49		34	42	15	16	9	44	46		 	
30	3	1988	46	33	42	29	7	15	39		43	17	38	42	49	44	31		 	
6	4	1988	1	8	32	25	46	14	2		12	49	44	29	47	19	36		 	
13	4	1988	23	7	16	21	9	38	34		5	46	3	35	28	41	10		 	
20	4	1988	17	39	30	20	25	44	27		20	31	18	2	21	42	17		 	
27	4	1988	32	25	27	47	9	48	4		43	30	26	4	42	31	11		 	
4	5	1988	43	20	2	8	24	19	12		26	30	15	19	40	43	44		 	
11	5	1988	3	35	28	6	40	22	36		44	3	24	42	9	19	22		 	
18	5	1988	23	37	44	34	21	19	9		38	39	8	31	11	19	22		 	
25	5	1988	25	20	7	35	16	29	30		2	24	27	11	38	42	3		 	
1	6	1988	25	7	45	1	34	48	27		11	17	13	44	14	12	33		 	
